Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A24493	We should ban private military companies	in favor of	['the defense of a country can only be trusted with the government and should not be motivated by money and greed']	1	1	0
A25014	We should adopt a multi-party system	in favor of	['the current  system is broken and doesnt work', ' neither side can work together so having more options would force politicians to come together and do whats best for the people because no side would be majority']	0	1	0
A25047	We should adopt an austerity regime	in favor of	['for longer term economic benefits short term sacrifices are necessary to dig the country out of debt and an austerity regime is the only way to achieve this']	1	1	0
A25123	We should introduce compulsory voting	in favor of	['compulsory voting would insure that every eligible voting citizen is able to aid in who they want for political offices']	0	1	0
A25160	We should introduce compulsory voting	in favor of	['compulsory voting would see to it that we have the person the people all the people truly want in each area of our government']	0	1	0
A25179	We should introduce compulsory voting	in favor of	['compulsory voting will cause more people to take an interest in politics which in turn will benefit everyone']	0	1	0
A25198	We should introduce compulsory voting	in favor of	['it would lead to governments better reflecting the public']	0	1	0
A25271	We should adopt an austerity regime	in favor of	['an austerity regime would stabilize our government']	0	1	0
A25344	We should abolish intellectual property rights	in favor of	['we should abolish intellectual property rights because the rich take advantage of the poor']	0	1	0
A25386	We should end the use of economic sanctions	in favor of	['economic sanctions dont work and result to have enemies abroad']	1	1	0
A25421	We should subsidize space exploration	in favor of	['the technology we get from space exploration alone is worth the cost of it']	1	1	0
A25425	We should adopt an austerity regime	in favor of	['adopting now an austerity regime will help future generations to cope with the limited  resources  we have']	0	1	0
A25466	We should limit judicial activism	in favor of	['sometimes the laws of the lands contradict a justified action']	0	1	0
A25488	We should adopt a zero-tolerance policy in schools	in favor of	['We should adopt a zero-tolerance policy in schools since the current system clearly isnt working and needs a drastic non tolerant change']	0	1	0
A25495	We should adopt a multi-party system	in favor of	['a multi party system would bring many new & fresh ideas into the forefront']	0	1	0
A26012	We should legalize prostitution	in favor of	['there are different types of prostitution not all is abusive and exploitative', ' a regulated industry based upon freedom of choice is a positive liberation and safer than the situation today']	0	1	0
A26053	We should abolish the three-strikes laws	in favor of	['criminals shouldnt get extra chances when committing crimes anyway so the three-strikes law is not necessary']	0	1	0
A26089	We should limit judicial activism	in favor of	['justice can not be subject to personal opinions']	0	1	0
A27005	We should abolish capital punishment	in favor of	['Capital punishment is just another way to oppress and control minorities and certain groups which undermine the mainstreem perceptions']	0	1	0
A27125	We should subsidize Wikipedia	in favor of	['wikipedia has the potential to be the greatest source of freely accessible information a subsidy could help to reach this goal whereas currently the funding is becoming a bigger threat to its existence']	1	1	0
A27202	We should ban the Church of Scientology	in favor of	['the church uses slave labor and other intimidation tactics to get what they want']	0	1	0
A27239	We should adopt a multi-party system	in favor of	['a multi-party system allows for a broad range of ideas to be heard and implemented']	1	1	0
A27252	We should adopt a zero-tolerance policy in schools	in favor of	['Zero tolerance parties have the appearance of fairness which increases buy-in to the disciplinary system from otherwise skeptical parents and community leaders']	0	1	0
A27343	We should ban private military companies	in favor of	['only the federal government should be allowed to handle any military training']	0	1	0
A27345	We should introduce compulsory voting	in favor of	['compulsory voting would make sure that each and every persons voice is heard and provide a more accurate system of making sure the person elected is the one the people really want']	1	1	0
A27364	We should introduce compulsory voting	in favor of	['compulsory voting would ensure that everyone would vote and have a voice in what goes on']	0	1	0
A27443	We should adopt an austerity regime	in favor of	['an austerity regime allows for the restructuring of economic for a country which can provide financial benefits']	1	1	1
A27453	We should introduce compulsory voting	in favor of	['compulsory voting will increase the number of voter turnout']	1	1	0
A28096	We should adopt a multi-party system	in favor of	['a multi-party system allows for more ideas more candidates more voters turning out']	1	1	0
A28125	We should legalize organ trade	in favor of	['organ trade will allow for more transplants benefitting society a a whole']	1	1	0
A28129	We should introduce compulsory voting	in favor of	['it sends a worthwhile message; that your vote and your opinion is important to a democratic decision', ' a democracy cannot be representative of the people if vast portions of some demographics dont vote']	0	1	0
A28149	We should legalize cannabis	in favor of	['Legalizing cannabis would allow the authorities to control the quality and strength of the product making it safer to use and could also collect tax from the sale']	1	1	1
A28197	We should introduce compulsory voting	in favor of	['compulsory voting would make the opinions of everyones opinions be taken into account']	0	1	0
A28198	We should adopt a multi-party system	in favor of	['a multi-party is essential to allow for democracy and prevent autocratic regimes coming to power']	0	1	0
A28214	We should abolish capital punishment	in favor of	['capital punishment should be abolished because man is not the one that should be making the decision to take a life but leave that to the all mighty god']	0	1	0
A28227	We should introduce compulsory voting	in favor of	['compulsory voting would require everyone to participate in our democracy and ensure that a candidate is selected by more than just the 10 or 20 percent of the population that gets out to vote']	0	1	0
A28263	We should adopt a multi-party system	in favor of	['we need better representation of all people', ' the two party system is broken and only represents a select few']	1	1	0
A28310	We should stop the development of autonomous cars	in favor of	['autonomous cars are too risky on the road hackers can find a way to take control and cause accidents']	0	1	0
A28334	We should introduce compulsory voting	in favor of	['we should introduce compulsory voting because people have a right to vote']	0	1	0
A28400	We should abolish the right to keep and bear arms	in favor of	['we should abolish the right to keep and bear arms because i think we have the proper government and people to take care of and protect us']	0	1	0
A28420	We should legalize prostitution	in favor of	['it allows control of the industry including paying of taxes and checks for stis']	0	1	1
A28433	We should adopt an austerity regime	in favor of	['an austerity regime would make for a more powerful and united country']	1	1	0
A28442	We should adopt a zero-tolerance policy in schools	in favor of	['dangerous items should not be allowed in schools because it is endangers the students and faculty and a strict punishment would help prevent these items from being brought']	0	1	0
A28491	We should ban human cloning	in favor of	['human cloning is against many religions and can have disasterous results if we make a simple mistake', ' that clone would then have to live with that mistake forever']	0	1	0
A29030	We should ban cosmetic surgery for minors	in favor of	['Cosmetic surgery is near permanent minors cannot contextualize these changes due to their short life experience and so are not mature enough to make sure life-changing decisions about their physical appearance']	1	1	0
A29198	We should introduce compulsory voting	in favor of	['compulsory voting can help encourage better results during elections']	1	1	0
A29235	We should subsidize student loans	in favor of	['college is not affordable anymore', '  an education can cost more than a home', '  paying money to some student loan bills allow graduates to prosper buying homes and cars and supporting the economy']	1	1	1
A29248	We should limit executive compensation	in favor of	['PROFITS FROM A COMPANY SHOULD BE DIVIDED BETWEEN ALL WORKERS NOT JUST MANAGMENT']	1	1	1
A29249	We should abolish capital punishment	in favor of	['capital punishment is evil in all aspect of kids life and should be banned by law and government across the world']	0	1	0
A29289	We should introduce compulsory voting	in favor of	['too many people do not take responsibility for their part in democracy']	1	1	0
A29296	We should adopt a multi-party system	in favor of	['a multi-party system would bring more choices for people to speak up and vote']	1	1	0
A29315	We should adopt a multi-party system	in favor of	['we absolutely need a multi party system', ' the two party system is a failure', ' the entire country cant be  split in to only two categories', ' we need better representation of the people']	0	1	0
A29350	We should ban private military companies	in favor of	['we would not be able to oversee their operations and prevent them from unethical activities']	0	1	0
A29393	We should adopt a multi-party system	in favor of	['by having a multi-party system people would be able to support parties with their values and the a larger party may adopt polices from the smaller one for support']	1	1	0
A29458	We should adopt libertarianism	in favor of	['we should adopt libertarianism because sometimes people need the government to help them make decisions that are best for them']	1	1	0
A30001	We should adopt a zero-tolerance policy in schools	in favor of	['Zero tolerance policies provide a consistent framework for discipline to ensure that issues are treated with the gravity they deserve']	0	1	0
A30024	We should introduce compulsory voting	in favor of	['everyone should take part in voting and making choices for our country']	0	1	0
A30095	We should adopt a multi-party system	in favor of	['it would allow more voices to be heard and more choice']	0	1	0
A30109	We should subsidize journalism	in favor of	['journalism provides a needed check on the government']	0	1	0
A30147	We should adopt a multi-party system	in favor of	['a multi party system allows far better choices for the diverse population meaning they can find someone to vote for that they truly believe in and participate in a democracy better']	1	1	0
A30169	We should adopt a multi-party system	in favor of	['it will give a stronger representation of the electorate']	0	1	0
A30186	We should subsidize journalism	in favor of	['Subsidizing journalism can create jobs thus lowering unemployment']	1	1	0
A30189	We should subsidize journalism	in favor of	['we should subsidize journalism because its a job market thats needed and financially in trouble because of free online news sources']	1	1	0
A30192	We should stop the development of autonomous cars	in favor of	['the development of autonomous cars is dangerous and removes human control']	1	1	0
A30222	We should legalize sex selection	in favor of	['legalized sex selection would help couples prepare for the birth of their baby']	0	1	0
A30232	We should introduce compulsory voting	in favor of	['mandatory voting is the best way to ensure that elected officials truly reflect the will of the people']	0	1	0
A30296	We should legalize sex selection	in favor of	['couples should be able to select the sex of their child since some may only want boys or may want girls', '  they may also already have more then one child of a certain sex and want the other sex next time']	0	1	0
A30333	We should ban the use of child actors	in favor of	['Using child actors only makes them more susceptible to drug use later on']	0	1	0
A30389	We should adopt a zero-tolerance policy in schools	in favor of	['adopting a zero-tolerance policy helps to combat violence and drug abuse in schools']	0	1	0
D01011	We should encourage people to take part in Fit India Movement	in favor of	['Due to the inactive lifestyle and stressful lives many people are getting lifestyle diseases such as diabetes hypertension etc', ' Fit India Movement can encourage people to consume healthy food and maintain physical and mental fitness']	0	1	0
D01026	Technology is making us feel less human	in favor of	['Since the invention of machines the value of workers is decreasing', ' They are made to work to support the machines', ' As a result work revolves around machines and not humans', ' Workers are forced to work continuously along with the machine', ' ']	1	1	0
D01040	We should strengthen laws to fight against terrorism	in favor of	['To prevent the violation of human rights four-stage scrutiny is added', ' Designating individuals as terrorists is not started by India', ' The US European Union and China also have this provision']	0	1	0
D01041	We should strengthen laws to fight against terrorism	in favor of	['Till now only organizations were designated as terrorist organizations but not individuals', ' The loophole in this is the individuals of the banned organizations are forming new organizations and carrying out terror activities', ' This amendment bill for the Unlawful Activities (Prevention) Act allows the government to designate individuals as terrorists thereby terror attacks can be prevented']	1	1	0
D01042	We should strengthen laws to fight against terrorism	in favor of	['There is a need to act tough on terrorism amid growing threats from terrorists', ' So strengthening UAPA is necessary']	0	1	0
D01061	India should store the data within the territorial boundaries of the country	in favor of	['Data localization is important for data sovereignty which means the data of the citizens should be owned by the respective governments and not by other countries']	0	1	0
D01128	Artificial intelligence brings more harm than good	in favor of	['We have started losing our basic human habits and instincts and are actually governed by devices and apps']	1	1	0
D02019	5G services should be available across India	in favor of	['5G in banking will bring much-needed financial inclusion to India’s rural and remote populations for whom access to a physical bank is not possible']	1	1	0
D02039	NEET exam should be banned	in favor of	['Students work hard to score well in class 12 exams but all that hard work is not recognized', ' And only the NEET score is considered for entry into medical college which is very unfair', ' Moreover the NEET exam is mainly based on the CBSE curriculum', ' So state board students have to study additional things to get a good score on the exam']	1	1	0
D02080	All countries should take responsibility for accepting refugees	in favor of	['A weak global response is worsening the situation of refugees', ' The international community should help in rebuilding the war-torn countries where refugees are coming from so that safe and dignified returns are possible for refugees', ' Refugees should not be forcibly sent to their home countries']	0	1	0
D03008	College education should be free for everyone	in favor of	['At present the rich are getting richer and poor people are getting poorer', ' A free college education will reduce social inequality too because as everyone can study and learn the skills in college everyone will have an equal opportunity to settle in the career of their choice']	1	1	0
D03012	India should have 'One Nation - One Election' policy 	in favor of	['Less disruption to public life less road traffic and less loss to our economy', ' As all the government staff can be used at a single time we can also increase vigilance and factors like black money booth capturing etc', ' can be reduced']	1	1	0
D03032	India should accept Rohingya refugees	in favor of	['Rohingyas have their own set of ethnicity and culture', ' By accepting them we will just be adding more culture to the already-vast culture of India']	0	1	0
D03034	India should accept Rohingya refugees	in favor of	['Acceptance of the Rohingyas will definitely throw a good impression of the hospitality of our country to the foreign land', ' This will improve India’s chances to secure permanent membership in United Nations Security Council (UNSC)']	0	1	0
