Argument ID	Conclusion	Stance	Premise	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A05082	We should ban algorithmic trading	in favor of	algorithmic trading should be banned because it gives some people an unfair advantage.	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A05083	We should legalize prostitution	in favor of	legalising prostitution will ensure the safety of both the sex trade worker and client	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A05087	We should end mandatory retirement	in favor of	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A05095	We should abolish the three-strikes laws	against	we need the three strikes as a deterrent	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
A05098	We should limit executive compensation	against	We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A06005	We should end mandatory retirement	against	Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A06017	We should subsidize student loans	in favor of	we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A07001	We should cancel pride parades	against	pride parades allow people to make connections and widen their social circles.	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1
A07008	We should end the use of economic sanctions	in favor of	economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0
A07009	We should ban private military companies	in favor of	only governments can be trusted with armies so we should ban private military companies.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
A07011	We should subsidize space exploration	against	there are much more important things to spend money on; space exploration is a low priority and should not be subsidized	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1
A07019	We should end mandatory retirement	against	Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
A07023	We should abolish safe spaces	in favor of	safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A07026	We should adopt a multi-party system	in favor of	multi-party systems offer voters more choices and more representation.	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
A07031	We should abolish intellectual property rights	against	we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
A07032	We should legalize prostitution	in favor of	with so much sexual freedom these days prostitution should now be legal.	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0
A07036	We should limit judicial activism	in favor of	judicial activism relies too heavily upon personal opinion and leads to bias.	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1
A07049	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is protected by our government and should be like that so people can defend their self.	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0
A07053	We should ban algorithmic trading	against	we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
A07054	We should end the use of economic sanctions	in favor of	if we end economic sanctions, then it would lead to a more fair trade market.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A07058	We should ban the Church of Scientology	in favor of	the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
A07066	We should ban the use of child actors	against	not all tv and movies is going to be adults only we need child actors to shows the world as it is	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
A07067	We should limit judicial activism	against	judicial activism allows for common sense to be applied where necessary	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1
A07068	We should limit executive compensation	against	executives provide profits to shareholders and should be compensated accordingly	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A07073	We should ban the use of child actors	against	we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
A07074	We should subsidize journalism	in favor of	Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
A07075	We should ban cosmetic surgery for minors	against	We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A07076	We should adopt a zero-tolerance policy in schools	in favor of	bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0
A07077	We should adopt an austerity regime	in favor of	an austerity regime would eliminate the national debt by directing money to where it really needs to go.	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0
A07079	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair speed advantage over the rest of the field.	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A07089	We should ban telemarketing	against	banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A07094	We should abolish intellectual property rights	in favor of	we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A07095	We should oppose collectivism	against	supporting collectivism is important because groups value is most important in the society which we live today.	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
A07097	We should ban whaling	against	whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1
A07098	We should subsidize Wikipedia	in favor of	wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A09001	We should ban fast food	in favor of	is leading to increased obesity and many health problems.	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
A09003	We should ban the use of child actors	against	we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A09006	We should abolish the right to keep and bear arms	against	we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0
A09008	We should ban algorithmic trading	against	if people want to use it then it is their choice	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A09021	We should subsidize Wikipedia	in favor of	providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
A09024	We should ban whaling	against	if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A09025	We should subsidize student loans	in favor of	it's the only way most people can afford college	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A09026	We should abolish intellectual property rights	against	intellectual property rights enable people to benefit from what they worked so hard to achieve.	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A09027	We should adopt an austerity regime	against	we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
A09030	We should abolish safe spaces	in favor of	people need to grow up and realise the world is a hard place	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
A09031	We should legalize prostitution	in favor of	Legalizing prostitution would make the profession less dangerous and less hazardous to one's health.	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A09033	We should oppose collectivism	in favor of	collectivism is a facet of socialism, communism, etc. and eliminates individual worth	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0
A09035	We should abolish the Olympic Games	against	The Olympic games provides jobs and is a boost for the economy in the host country.	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
A09036	We should ban factory farming	against	factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
A09043	We should end the use of economic sanctions	in favor of	economic sanctions hurt the poorest people of a nation	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A09045	We should end the use of economic sanctions	against	economic sanctions can be very effective in bringing about social change	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A09046	We should end mandatory retirement	in favor of	mandatory retirement should be ended as it is unfair on older people.	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0
A09060	We should abolish the Olympic Games	against	The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
A09062	We should subsidize student loans	in favor of	college is getting more and more expensive each year so students should be getting as much help as they need	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
A09064	We should abolish the three-strikes laws	in favor of	abolishing the three strikes law would save money	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A09070	We should fight for the abolition of nuclear weapons	against	they serve as a deterant for any rogue dictator to strike an enemy	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A09071	We should limit executive compensation	in favor of	executive compensation should be limited in order to narrow the wage gap between c-level employees and line workers	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
A09073	We should abolish zoos	against	Zoos are a great and cheap way for children to learn about animals from all over the world.	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A09077	We should legalize sex selection	against	sex selection can lead to an over abundance of a favored gender in society	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0
A09079	We should abolish intellectual property rights	against	a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A09080	We should cancel pride parades	against	pride parades are a platforms for minority groups to spread awareness about discrimination and abuse	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0
A09093	We should end mandatory retirement	in favor of	You do not become unqualified for a job simply because you reach retirement age.	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
A09097	We should abolish the right to keep and bear arms	against	people have a right to be able to defend themselves  and their loved ones	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
A10003	We should end the use of economic sanctions	in favor of	we should end all economic sanctions because they cause harm to both countries by preventing free trade which in turn will cause an economic downturn.	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
A10017	We should ban the use of child actors	against	we shouldn't ban the use of child actors because it is a way for children to find a career early in their life	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12001	We should oppose collectivism	in favor of	collectivism reduces productivity from individuals as they have no incentive to do better.	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A12003	We should subsidize student loans	in favor of	students should be able to pursue higher education without worrying about being able to afford it. subsidizing students loans would make education more accessible.	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A12004	We should end the use of economic sanctions	in favor of	economic sanctions is bullying and it will not result in the country complying or changing their policies.	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1
A12010	We should adopt a multi-party system	against	multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
A12016	We should end mandatory retirement	against	mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A12019	We should abolish the Olympic Games	against	the olympics have long been the goal for athletes to aim for to be the very best so abolishing the games would take away their dreams and ambitions.	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A12026	We should ban human cloning	against	we should allow human cloning as this will be beneficial to scientific advances in the future.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A12028	We should abolish intellectual property rights	against	Intellectual property rights keep people from stealing others' ideas and selling them as their own.	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
A12030	We should abolish the Olympic Games	in favor of	the olympic games are usually a drain on the economy of the host city	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12036	We should ban algorithmic trading	against	ai is the future and algorithmic trading is simply a form of ai that makes the most of trading opportunities which will be the norm in the not to distant future.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
A12039	We should ban the use of child actors	in favor of	we are exploiting the youth purely for entertainment	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
A12046	We should ban factory farming	against	factory farming is efficient and lowers food production costs.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
A12049	We should limit executive compensation	against	we should not limit executive compensation because it is their company that they started, they have a right to the profits.	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A12053	We should ban factory farming	against	we should not ban factory farming because it helps to keep up with demand for food.	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
A12058	We should subsidize embryonic stem cell research	in favor of	we should subsidize embryonic stem cell research because it is necessary for the betterment of the human race. we may find cures for aging, diseases, or create new stronger genes.	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A12060	We should end mandatory retirement	against	a mandatory retirement age helps employers regularly refresh the workforce with fresh talent	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12063	We should adopt an austerity regime	in favor of	austerity regimes provide an avenue for the government to balance up financial deficits and save the country from economic collapse	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
A12064	We should subsidize embryonic stem cell research	in favor of	supporting embryonic stem cell research is important because it is the future of medicine and it can help scientists to find new cures for diseases.	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A12066	We should ban human cloning	against	human cloning gives the chance for individuals to have a child that might not otherwise be able to	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
A12068	We should subsidize student loans	against	studen loans cannot be subsidised as not only is it unaffordable in the current climate, it would encourage universities offer degree courses purely for financial gain.	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1
A12069	We should limit judicial activism	against	judicial activism is sometimes the best way to get things done	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A12072	We should subsidize space exploration	in favor of	space exploration is the next frontier.	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12075	We should end mandatory retirement	against	mandatory retirement is needed to keep businesses new and fresh with innovation from the younger generation.	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12077	We should subsidize student loans	against	there are other ways to channel student aid that is not subsidizing loans	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
A12078	We should ban algorithmic trading	in favor of	even if an algorithm can react quicker than a person, it can't predict markets accurately	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
A12079	We should ban targeted killing	against	we should not ban targeted killing since they are effective at eliminating terrorists with a smaller number of civilians being killed than most other military weapon	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A12082	We should subsidize Wikipedia	in favor of	wikipedia is a wonderful source of information for students and adults alike.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12090	We should legalize sex selection	in favor of	parents should be able to choose what sex child they are going to have.	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
A12092	We should abolish intellectual property rights	in favor of	it can be expensive to maintain property rights and therefore it should be abolished so that everyone has an even chance.	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A12094	We should ban algorithmic trading	against	algorithmic trading allows for greater numbers of trades to happen, getting more people involved in the economy	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12095	We should abolish the Olympic Games	against	the olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
A12099	We should end mandatory retirement	against	the companies that have the mandatory retirement policy maintain a rotation of employees fresher and updated with the new times	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12104	We should ban the Church of Scientology	against	we shouldn't ban the church of scientology because it is a way to study the nature of life	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A12106	We should ban the use of child actors	against	child actors should be allowed to work and contribute their talents to society.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A12107	We should abolish the Olympic Games	against	the olympic games are a testament to the spirit of amateur athleticism.	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
A12109	We should adopt libertarianism	in favor of	libertarianism removes the big brother tyranny of big government and allows more freedom for the people	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A12111	We should ban algorithmic trading	against	algorithmic trading is cost effective because it is timely and accurate.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
A12117	We should adopt an austerity regime	in favor of	It would help people spend less money, which would be good for the economy.	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0
A12122	We should fight for the abolition of nuclear weapons	against	nuclear weapons help keep peace. it's an assurance policy. everyone knows that everyone loses if nuclear war breaks out. this keeps countries in line so as not to provoke a nuclear attack.	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A12124	We should end the use of economic sanctions	against	economic sanctions work as intended and getting rid of them would make it more difficult to punish offending countries.	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A12128	We should abolish intellectual property rights	in favor of	intellectual property rights should be abolished since it doesn't allow the sharing of ideas	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A12131	We should ban factory farming	against	factory farming reduces the cost of food	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A12132	We should subsidize space exploration	in favor of	we need to subsidize space exploration in order to find an inhabitable planet we can live on when we finally destroy the one we live on now.	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
A12163	We should ban factory farming	against	factory farming has allowed the prices of food to drop drastically.	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A12166	We should ban algorithmic trading	against	algorithmic trading is faster and more accurate than human guesswork and so provides greater value to shareholders.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
A12167	We should ban private military companies	against	the state can not have exclusivity in the creation of weapons, leaving aside private capital as a source of technological innovations for our defense	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
A12179	We should abolish intellectual property rights	against	having intellectual property rights is a deterrent for those that would steal another persons ideas and creations so we must not abolish that.	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A12181	We should abolish safe spaces	in favor of	We should abolish safe spaces because they put public funding for universities at risk, due to backlash from right wing legislatures.	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
A12183	We should oppose collectivism	in favor of	collectivism removes an individual's right to promote their private interests and exercise autonomy	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12184	We should legalize prostitution	in favor of	if prostitution was legal then the people would be able to be better protected and diseases could be controlled more.	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0
A12191	We should end the use of economic sanctions	against	economic sanctions make items made in foreign countries and shipped here more affordable for struggling americans.	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A12194	We should ban human cloning	against	cloning humans can allow us to advance science and medicine in ways which could save millions of lives by producing organs, stem cells, etc., for those in need.	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
A12210	We should abolish safe spaces	in favor of	safe spaces should be abolished as this it just makes our society weak.	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
A12213	We should oppose collectivism	in favor of	collectivism doesn't allow people to stand up on their own for what they believe in	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A12216	We should limit judicial activism	against	judicial activism can highlight wrong legislation, or deliver accurate justice that cannot be addressed through the existing laws	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A12221	We should ban whaling	in favor of	we should ban whaling because there is very little profit in the business and does nothing but kill fairly rare animals.	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1
A12224	We should ban factory farming	against	factory farming is necessary in our society as a way to control and protect the environment in which the animals are living so they are not subjected to disease and predators.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
A12227	We should subsidize student loans	in favor of	It's bad enough having to take out a student loan in the first place, but even more students from poorer backgrounds will be reluctant to go into higher education if their student loans aren't subsidized.	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A12228	We should stop the development of autonomous cars	against	autonomous cars will reduce the human margin of error to near zero and make for a safer commute.	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A12229	We should subsidize embryonic stem cell research	against	i don't think tax dollars should be going towards researching embryonic stem cells.   there is much better usage for our money than that.   we do not need to subsidize this.	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
A12232	We should subsidize journalism	in favor of	journalism has been an important profession.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A12233	We should adopt atheism	in favor of	Atheism is a valid form of thinking just as many controlled religions. We should adopt and accept it as we do with other beliefs.	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
A12238	We should ban algorithmic trading	against	programmes will always evolve to make better use of trading practices, so holding people back from using algorithmic trading will only serve to slow down progress.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12241	We should subsidize Wikipedia	against	the open source nature of wikipedia means anyone can add gibberish and falsehood in its contents thereby making it unreliable.	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
A12249	We should ban private military companies	against	private military companies provide additional soldiers in places where it is necessary	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A12258	We should abolish the Olympic Games	in favor of	the olympic games are too expensive to be held	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
A12259	We should ban whaling	in favor of	whaling should be banned because it harms economic activity that's generated by whale watching	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
A12260	We should end mandatory retirement	against	certain professions, such as police officer and air traffic controller, have mandatory retirement ages  to ensure that the person who is responsible for the safety of others remains competent to do his job	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1
A12268	We should adopt gender-neutral language	against	gender-neutral language will cause confusion if we don't know who is being referred to	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
